url,exterior,interior,mileage,fuel_type,listed_since,vin,stock_number,list_price,average_list_price,price_range_excellent,price_range_great,price_range_fair,price_range_high,price_description,seller_notes,epa_range
https://www.truecar.com/used-cars-for-sale/listing/1FM5K8AT8HGD93834/2017-ford-police-interceptor-utility/?position=10&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Shadow Black,Charcoal Black,"Round Rock, TX (1678 miles away)",Gas,Listed 2 days ago,1FM5K8AT8HGD93834,null,"$6,999","$8,913","Below $8,467","$8,467 - $8,824","$8,824 - $9,180","Above $9,180","The list price of$6,999for this2017 Ford Police Interceptor Utilityisanexcellentprice! The average list price for similar models is$8,913.Learn More","2017 ford explorer police, BACKUP CAMERA,  automatic transmission all power ac cd drives good FOR MORE INFO CALL RAY 5129985200",
https://www.truecar.com/used-cars-for-sale/listing/1G1BE5SM3H7188371/2017-chevrolet-cruze/?position=11&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Arctic Blue Metallic,Jet Black,"Austin, TX (1694 miles away)",Gas,Listed 22 days ago,1G1BE5SM3H7188371,S9744C,"$8,888","$10,808","Below $10,267","$10,267 - $10,699","$10,699 - $11,131","Above $11,131","The list price of$8,888for this2017 Chevrolet Cruzeisanexcellentprice! The average list price for similar models is$10,808.Learn More","Clean CARFAX. Arctic Blue Metallic 2017 Chevrolet Cruze LT FWD 6-Speed Automatic 1.4L 4-Cylinder Turbo DOHC CVVT   Need Financing? We have competitive financing terms available, with over 20 lending institutions available. We can provide financing solutions for every credit need, including low rates, extended terms and leasing options. Ask about our Video-Walk Around, Test Drive at Home & Home Delivery and Beasley Prime Express Purchase. We can provide it all. Service and Parts hours are 7:00 am to 6:00 pm Mon-Fri and 7:00 to 4:00 pm Sat. Sales hours are 8:30 am to 8:00 pm Mon-Sat. Our experienced sales staff is eager to share its knowledge and enthusiasm with you. They'll work with you to find the right vehicle at a price you can afford. Call or e-mail now to schedule a test drive or for more information at Roger Beasley Mazda South, 4506 S I-35 Frontage Rd, Austin, TX 78745. 512-462-3131 mazdasouth.com or rogerbeasleyused.com ROGER BEASLEY MAZDA ""AUSTIN TRUE SINCE 1972"" 50 YEARS OF PROUDLY SERVING THE AUSTIN AREA.  Choice Certified Certified, 16"" Aluminum Wheels, 4-Wheel Disc Brakes, 6 Speaker Audio System Feature, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio: SiriusXM, Apple CarPlay/Android Auto, Brake assist, Bumpers: body-color, Cloth Seat Trim, Compass, Convenience Package, Delay-off headlights, Driver 6-Way Manual Seat Adjuster, Driver 8-Way Power Seat Adjuster, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Emergency communication system: OnStar Guidance, Exterior Parking Camera Rear, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front License Plate Bracket, Front Passenger 2-Way Manual Seat Adjuster, Front reading lights, Front wheel independent suspension, Fully automatic headlights, Heated door mirrors, Heated Driver & Front Passenger Seat, Illuminated entry, Keyless Open, Keyless Start, Knee airbag, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power steering, Power windows, Preferred Equipment Group 1SD, Radio data system, Radio: AM/FM Chevrolet MyLink w/7"" Touch-Screen, Rear seat center armrest, Rear side impact airbag, Rear window defroster, Remote keyless entry, Remote Vehicle Starter System, Security system, SiriusXM Satellite Radio, Speed control, Split folding rear seat, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Variably intermittent wipers, Voltmeter.",
https://www.truecar.com/used-cars-for-sale/listing/1FTFX1CF9DFA60096/2013-ford-f-150/?position=12&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Blue Jeans Metallic,Steel Gray,"Austin, TX (1684 miles away)",Gas,Listed 119 days ago,1FTFX1CF9DFA60096,450906x87,"$11,475","$13,697","Below $13,011","$13,011 - $13,559","$13,559 - $14,107","Above $14,107","The list price of$11,475for this2013 Ford F‑150isanexcellentprice! The average list price for similar models is$13,697.Learn More","All advertised prices exclude government fees and taxes, any finance charges, any dealer document preparation charges, and any emission testing charges. While we try to make sure that all prices posted here are accurate at all times, we cannot be responsible for typographical and other errors that may appear on the site. We make every effort to provide you with the most accurate, up-to-the-minute information; however, it is your responsibility to verify with the Dealer that all details listed are accurate. The dealership is not responsible for typographical, pricing, product information, advertising, or shipping errors. Advertised prices and available quantities are subject to change without notice. All rates and offers are dependent on bank approval, which varies based on the applicant's credit as well as the vehicle. *Austin Texas Cars and Trucks - HOME OF THE LIFETIME WARRANTY on qualified vehicles. Ask the dealer for details.",
https://www.truecar.com/used-cars-for-sale/listing/3GYFNAE36FS597574/2015-cadillac-srx/?position=13&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Black Raven,Ebony W/Ebony Accents,"Austin, TX (1688 miles away)",Gas,Listed 29 days ago,3GYFNAE36FS597574,597574,"$10,999","$13,483","Below $12,808","$12,808 - $13,347","$13,347 - $13,887","Above $13,887","The list price of$10,999for this2015 Cadillac SRXisanexcellentprice! The average list price for similar models is$13,483.Learn More","Beautiful 2015 Cadillac SRX. Extremely low mileage, ONLY 66k miles! Leather interior with power windows, locks and mirrors. 3.6L V6 engine runs smooth! Clean CARFAX report.  We are a family owned and operated used car dealership serving the Austin area since 1986! Our vast inventory has affordable vehicles for every budget, we have the best used and pre owned car deals in Austin. View our entire inventory at www.texascentralmotors.com or give us a call at 512-413-8135. We are located at 5419 North Lamar, Austin Tx 78751 Visit our website  http://www.texascentralmotors.com  for more information and photos on this or any of our other vehicles or call us today for a test drive at 512-413-8135 or 512-371-7199.",
https://www.truecar.com/used-cars-for-sale/listing/WBA8Z9C55JG827695/2018-bmw-3-series/?position=14&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Black Sapphire Metallic,Black,"Austin, TX (1684 miles away)",Gas,Listed 54 days ago,WBA8Z9C55JG827695,450602x97,"$18,990","$23,355","Below $22,187","$22,187 - $23,121","$23,121 - $24,055","Above $24,055","The list price of$18,990for this2018 BMW 3 Seriesisanexcellentprice! The average list price for similar models is$23,355.Learn More","All advertised prices exclude government fees and taxes, any finance charges, any dealer document preparation charges, and any emission testing charges. While we try to make sure that all prices posted here are accurate at all times, we cannot be responsible for typographical and other errors that may appear on the site. We make every effort to provide you with the most accurate, up-to-the-minute information; however, it is your responsibility to verify with the Dealer that all details listed are accurate. The dealership is not responsible for typographical, pricing, product information, advertising, or shipping errors. Advertised prices and available quantities are subject to change without notice. All rates and offers are dependent on bank approval, which varies based on the applicant's credit as well as the vehicle. *Austin Texas Cars and Trucks - HOME OF THE LIFETIME WARRANTY on qualified vehicles. Ask the dealer for details.",
https://www.truecar.com/used-cars-for-sale/listing/1FM5K7F89EGC37327/2014-ford-explorer/?position=15&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Dark Side Metallic,Medium Light Stone,"Austin, TX (1694 miles away)",Gas,Listed 23 days ago,1FM5K7F89EGC37327,G4277A,"$8,888","$10,885","Below $10,340","$10,340 - $10,775","$10,775 - $11,211","Above $11,211","The list price of$8,888for this2014 Ford Explorerisanexcellentprice! The average list price for similar models is$10,885.Learn More","Dark Side Metallic 2014 Ford Explorer Limited FWD 6-Speed Automatic with Select-Shift 3.5L 6-Cylinder SMPI DOHC   Need Financing? We have competitive financing terms available, with over 20 lending institutions available. We can provide financing solutions for every credit need, including low rates, extended terms and leasing options. Ask about our Video-Walk Around, Test Drive at Home & Home Delivery and Beasley Prime Express Purchase. We can provide it all. Service and Parts hours are 7:00 am to 6:00 pm Mon-Fri and 7:00 to 4:00 pm Sat. Sales hours are 8:30 am to 8:00 pm Mon-Sat. Our experienced sales staff is eager to share its knowledge and enthusiasm with you. They'll work with you to find the right vehicle at a price you can afford. Call or e-mail now to schedule a test drive or for more information at Roger Beasley Mazda South, 4506 S I-35 Frontage Rd, Austin, TX 78745. 512-462-3131 mazdasouth.com or rogerbeasleyused.com ROGER BEASLEY MAZDA ""AUSTIN TRUE SINCE 1972"" 50 YEARS OF PROUDLY SERVING THE AUSTIN AREA.  Choice Certified Certified, 12 Speakers, 20"" Painted Aluminum Wheels, 3.39 Axle Ratio, 3rd row seats: split-bench, 4-Wheel Disc Brakes, ABS brakes, Adjustable pedals, Air Conditioning, Alloy wheels, AM/FM radio: SiriusXM, Auto-dimming Rear-View mirror, Automatic temperature control, Bumpers: body-color, CD player, Compass, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Dual-Panel Moonroof, Electronic Stability Control, Equipment Group 300A, Exterior Parking Camera Rear, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front dual zone A/C, Front fog lights, Front reading lights, Fully automatic headlights, Garage door transmitter: HomeLink, Heated door mirrors, Heated front seats, Heated rear seats, Illuminated entry, Knee airbag, Leather-Trimmed Heated Bucket Seats, License Plate Bracket, Low tire pressure warning, Memory seat, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Pedal memory, Power door mirrors, Power driver seat, Power passenger seat, Power steering, Power windows, Premium audio system: Sony, Radio data system, Radio: Sony Audio System w/12-Speakers, Rear air conditioning, Rear anti-roll bar, Rear Parking Sensors, Rear reading lights, Rear seat center armrest, Rear window defroster, Rear window wiper, Remote keyless entry, Roof rack: rails only, Security system, Speed control, Speed-sensing steering, Speed-Sensitive Wipers, Split folding rear seat, Spoiler, Steering wheel mounted audio controls, SYNC, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Turn signal indicator mirrors, Variably intermittent wipers.",
https://www.truecar.com/used-cars-for-sale/listing/ML32A3HJ9FH011824/2015-mitsubishi-mirage/?position=16&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Black,Black,"Austin, TX (1685 miles away)",Gas,Listed 6 days ago,ML32A3HJ9FH011824,011824,"$5,999","$7,644","Below $7,261","$7,261 - $7,567","$7,567 - $7,873","Above $7,873","The list price of$5,999for this2015 Mitsubishi Mirageisanexcellentprice! The average list price for similar models is$7,644.Learn More","Experience the ultimate in fuel efficiency and style with the 2015 Mitsubishi Mirage DE Automatic. This compact car boasts a sleek exterior design and a spacious interior, perfect for navigating the city streets. With its automatic transmission and 1.2L 3-cylinder engine, this Mirage offers a smooth and responsive ride. Equipped with modern features such as Bluetooth connectivity and a touchscreen display, staying connected on the go has never been easier. Plus, with an impressive 37 MPG city and 44 MPG highway, you can say goodbye to frequent gas station stops. Upgrade your daily commute and join the Mitsubishi family today. #MitsubishiMirage #FuelEfficient #SleekDesign #CityDriving #UpgradeYourRide #EfficiencyAtItsFinest",
https://www.truecar.com/used-cars-for-sale/listing/1GBFG15R3X1115767/1999-chevrolet-express-van/?position=17&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Medium Charcoal Gray Met,Gray,"Austin, TX (1688 miles away)",Gas,Listed 139 days ago,1GBFG15R3X1115767,115767,"$4,999","$6,073","Below $5,769","$5,769 - $6,012","$6,012 - $6,255","Above $6,255","The list price of$4,999for this1999 Chevrolet Express Vanisanexcellentprice! The average list price for similar models is$6,073.Learn More","Nice conversion van. Loaded with options. Rear seats fold down into a bed. Alloy wheels. Cold AC.   We are a family owned and operated used car dealership serving the Austin area since 1986! Our vast inventory has affordable vehicles for every budget, we have the best used and pre owned car deals in Austin. View our entire inventory at www.texascentralmotors.com or give us a call at 512-413-8135. We are located at 5419 North Lamar, Austin Tx 78751   Texas Central Motors Visit our website  http://www.texascentralmotors.com  for more information and photos on this or any of our other vehicles or call us today for a test drive at 512-413-8135 or 512-371-7199.",
https://www.truecar.com/used-cars-for-sale/listing/4JGDF6EE6FA466750/2015-mercedes-benz-gl/?position=18&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Black,Tan,"Austin, TX (1688 miles away)",Gas,Listed 5 days ago,4JGDF6EE6FA466750,null,"$12,990","$16,192","Below $15,382","$15,382 - $16,030","$16,030 - $16,678","Above $16,678","The list price of$12,990for this2015 Mercedes‑Benz GLisanexcellentprice! The average list price for similar models is$16,192.Learn More",,
https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP2KY358313/2019-nissan-sentra/?position=19&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Super Black,Charcoal,"Austin, TX (1686 miles away)",Gas,Listed 25 days ago,3N1AB7AP2KY358313,4903289,"$10,950","$12,520","Below $11,893","$11,893 - $12,394","$12,394 - $12,895","Above $12,895","The list price of$10,950for this2019 Nissan Sentraisanexcellentprice! The average list price for similar models is$12,520.Learn More",2019 Nissan Sentra 1800 down/480 a month,
https://www.truecar.com/used-cars-for-sale/listing/1GNLC2EC7FR273564/2015-chevrolet-tahoe/?position=20&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Silver Ice Metallic,Jet Black,"Round Rock, TX (1678 miles away)",Gas,Listed 18 days ago,1GNLC2EC7FR273564,null,"$12,999","$16,468","Below $15,644","$15,644 - $16,303","$16,303 - $16,961","Above $16,961","The list price of$12,999for this2015 Chevrolet Tahoeisanexcellentprice! The average list price for similar models is$16,468.Learn More","2015 CHEVY TAHOE, AUTOMATIC TRANSMISSION ALL POWER AC CD DRIVES GOOD FOR MORE INFO CALL RAY 5129985200",
