url,exterior,interior,mileage,fuel_type,listed_since,vin,stock_number,list_price,average_list_price,price_range_excellent,price_range_great,price_range_fair,price_range_high,price_description,seller_notes,epa_range
https://www.truecar.com/used-cars-for-sale/listing/KM8NUDCC7CU201538/2012-hyundai-veracruz/?position=10&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace,Boulder Gray,Black,"San Leandro, CA (2676 miles away)",Gas,Listed 6 days ago,KM8NUDCC7CU201538,L5833,"$9,999","$13,255","Below $12,592","$12,592 - $13,122","$13,122 - $13,652","Above $13,652","The list price of$9,999for this2012 Hyundai Veracruzisanexcellentprice! The average list price for similar models is$13,255.Learn More","AWD, Black Leather. 16/21 City/Highway MPG Boulder Gray Metallic   This vehicle is equipped with: Option Group 1 (115-Volt Cargo Area Power Outlet, 7-Passenger Seating w/3rd Row, Active Front Head Restraints, Advanced Front Airbags, Anti-Lock Braking System (ABS), Automatic Headlights, Backup Warning System, Chrome Door Handles, Conversation Mirror, Cruise Control w/Steering-Wheel-Mounted Controls, Dual-Zone Automatic Temperature Control, Electronic Stability Control, Front Fog Lights, Front Solar & Rear Privacy Glass, Heated 2nd Row Seats, Integrated Memory System, Keyless Entry System w/Alarm, Leather-Wrapped Steering Wheel & Shift Knob, Lighted Front Door Scuff Plates, Outside Temperature Display, Power Heated External Body Color Mirrors, Power Tilt & Telescopic Steering Wheel, Power Windows & Door/Tailgate Locks, Proximity Key w/Immobilizer, Rear Spoiler, Rear Window Wiper & Washer, Roof Rack Side Rails, Steering Wheel Audio Controls, Temperature Controlled Center Console Storage, Tilt-In-Reverse Exterior Mirrors, Tire Pressure Monitoring System, and Trip Computer), AWD, Black Leather, 18"" Hypersilver Alloy Wheels, 3.20 Axle Ratio, 3rd row seats: split-bench, 4-Wheel Disc Brakes, 8 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio: XM, Anti-whiplash front head restraints, Auto tilt-away steering wheel, Auto-dimming door mirrors, Auto-dimming Rear-View mirror, Automatic temperature control, Bluetooth® Hands-Free Phone System, Brake assist, Bumpers: body-color, Carpeted Floor Mats, CD player, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, First Aid Kit, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest w/Storage, Front dual zone A/C, Front fog lights, Front reading lights, Fully automatic headlights, Garage door transmitter: HomeLink, Heated door mirrors, Heated Front Bucket Seats, Heated front seats, Heated rear seats, Illuminated entry, Infinity AM/FM/6-CD/MP3 Audio System, iPod Cable, Leather Seating Surfaces, Leather Shift Knob, Low tire pressure warning, Memory seat, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power driver seat, Power Liftgate, Power moonroof, Power passenger seat, Power steering, Power windows, Rear air conditioning, Rear anti-roll bar, Rear Parking Sensors, Rear reading lights, Rear seat center armrest, Rear window defroster, Rear window wiper, Reclining 3rd row seat, Remote keyless entry, Roof rack: rails only, Security system, Speed control, Speed-sensing steering, Split folding rear seat, Spoiler, Steering wheel memory, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Turn signal indicator mirrors, and Variably intermittent wipers Family Owned and Operated for Since 1910 FH Dailey Chevrolet has been serving San Leandro and the San Francisco, Oakland Bay Area since 1910. We work hard so you don't have too.",
https://www.truecar.com/used-cars-for-sale/listing/YV4ED3UL5P2035936/2023-volvo-xc40-recharge/?position=2&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace,Black Stone,Black,"San Francisco, CA (2686 miles away)",Electric,Listed 68 days ago,YV4ED3UL5P2035936,P2035936,"$29,999","$36,788","Below $34,948","$34,948 - $36,420","$36,420 - $37,891","Above $37,891","The list price of$29,999for this2023 Volvo XC40 Rechargeisanexcellentprice! The average list price for similar models is$36,788.Learn More","Reserve at EVERCARS.COM/cars/YV4ED3UL5P2035936 .   Black 2023 Volvo XC40 Recharge Pure Electric Twin Plus  Buy or reserve this Ever Certified Vehicle at EVERCARS.COM. Brought to you by Ever, the best place to buy and sell EVs. Tested for battery health + inspected by EV experts. Comes with a home charger, money back guarantee (7-days/500-miles), and limited warranty (90-day/5,000-mile) as well as any remaining manufacturer warranties. Nationwide shipping or pick-up available from our retail store in San Francisco, CA. Contact us at +1 (415) 890-2232, sales@evercars.com or 559 6th Street, San Francisco, CA 94103.",223 mi
https://www.truecar.com/used-cars-for-sale/listing/2FDPF17M13CB09894/2003-ford-f-150/?position=12&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace,White,Black,"San Mateo, CA (2687 miles away)",CNG,Listed 116 days ago,2FDPF17M13CB09894,B09894,"$6,888","$9,057","Below $8,603","$8,603 - $8,966","$8,966 - $9,328","Above $9,328","The list price of$6,888for this2003 Ford F‑150isanexcellentprice! The average list price for similar models is$9,057.Learn More","Drives great, Vehicle Runs Well, Smooth ride, Must test drive",
https://www.truecar.com/used-cars-for-sale/listing/WAUBEAFM0CA068210/2012-audi-a3/?position=13&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace,Ibis White,Luxor Beige,"Alameda, CA (2678 miles away)",Gas,Listed 78 days ago,WAUBEAFM0CA068210,068210,"$5,995","$7,655","Below $7,271","$7,271 - $7,578","$7,578 - $7,884","Above $7,884","The list price of$5,995for this2012 Audi A3isanexcellentprice! The average list price for similar models is$7,655.Learn More",,
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1ECXLF736439/2020-tesla-model-3/?position=14&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace,Pearl White Multi-Coat,Black,"Colma, CA (2692 miles away)",Electric,Listed 6 days ago,5YJ3E1ECXLF736439,M9127,"$21,999","$28,203","Below $26,793","$26,793 - $27,921","$27,921 - $29,049","Above $29,049","The list price of$21,999for this2020 Tesla Model 3isanexcellentprice! The average list price for similar models is$28,203.Learn More",CARFAX One-Owner. Priced below KBB Fair Purchase Price! 1-Speed Automatic Electric MotorTesla Model 3 Pearl White Multi-Coat,310 mi
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EC1LF627545/2020-tesla-model-3/?position=15&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace&zipcode=94014,Pearl White Multi-Coat,Black,"San Jose, CA (0 miles away)",Electric,Listed 3 days ago,5YJ3E1EC1LF627545,27004449,"$26,998","$32,778","Below $31,139","$31,139 - $32,450","$32,450 - $33,761","Above $33,761","The list price of$26,998for this2020 Tesla Model 3isanexcellentprice! The average list price for similar models is$32,778.Learn More","CarMax values transparency and wants you to love your next car, not settle on it. Certain vehicles may have unrepaired safety recalls. Check nhtsa.gov/recalls to learn if this vehicle has an unrepaired safety recall. At CarMax, finding the right car is easy. You can shop online, get pre-qualified with no impact to your credit, and receive a trade-in offer all from the comfort of home. See carmax.com for details. Then, when it's time to buy, you can take advantage of express pickup at your local CarMax. And we stand behind every used car we sell with a 90-Day/4,000-Mile (whichever comes first) Limited Warranty. See store for details. Price excludes government fees and taxes, any finance charges, $85 CarMax document processing charge (not required by law), any electronic filing charge, and any emission testing charge. Price assumes that final purchase will be made in the State of CA, unless vehicle is non-transferable. Vehicle subject to prior sale. Applicable transfer fees are due in advance of vehicle delivery and are separate from sales transactions. Inventory shown here is updated every 24 hours.",310 mi
https://www.truecar.com/used-cars-for-sale/listing/1G1RC6E48FU110236/2015-chevrolet-volt/?position=16&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace,Silver Topaz Metallic,Jet Black Seats/Dark Accents,"Colma, CA (2692 miles away)",Plug-In Hybrid,Listed 19 days ago,1G1RC6E48FU110236,P10174A,"$8,975","$10,627","Below $10,095","$10,095 - $10,520","$10,520 - $10,945","Above $10,945","The list price of$8,975for this2015 Chevrolet Voltisanexcellentprice! The average list price for similar models is$10,627.Learn More","Recent Arrival! New Price! ***LOCAL TRADE***, ***DEALER SERVICE***, ***BACKUP CAMERA BLUETOOTH***, ***POWER LOCKS, WINDOWS, MIRRORS***, ***REAR PARK ASSIST***, ***WELL MAINTAINED W/(16) SERVICE HISTORY RECORD***, ***SIRIUSXM***. Odometer is 928 miles below market average! 35/40 City/Highway MPG Silver Topaz Metallic 2015 Chevrolet Volt FWD 1-Speed Automatic Electric Motor Low, No Haggle prices on all of our Pre-Owned Vehicles. Get a fair price up front without having to negotiate for it. Let us",
https://www.truecar.com/used-cars-for-sale/listing/KMHE14L27GA029681/2016-hyundai-sonata/?position=17&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace&zipcode=94014,Diamond White Pearl,Gray,"Stockton, CA (0 miles away)",Plug-In Hybrid,Listed 15 days ago,KMHE14L27GA029681,26278357,"$15,998","$20,704","Below $19,668","$19,668 - $20,497","$20,497 - $21,325","Above $21,325","The list price of$15,998for this2016 Hyundai Sonataisanexcellentprice! The average list price for similar models is$20,704.Learn More","CarMax values transparency and wants you to love your next car, not settle on it. Certain vehicles may have unrepaired safety recalls. Check nhtsa.gov/recalls to learn if this vehicle has an unrepaired safety recall. At CarMax, finding the right car is easy. You can shop online, get pre-qualified with no impact to your credit, and receive a trade-in offer all from the comfort of home. See carmax.com for details. Then, when it's time to buy, you can take advantage of express pickup at your local CarMax. And we stand behind every used car we sell with a 90-Day/4,000-Mile (whichever comes first) Limited Warranty. See store for details. Price excludes government fees and taxes, any finance charges, $85 CarMax document processing charge (not required by law), any electronic filing charge, and any emission testing charge. Price assumes that final purchase will be made in the State of CA, unless vehicle is non-transferable. Vehicle subject to prior sale. Applicable transfer fees are due in advance of vehicle delivery and are separate from sales transactions. Inventory shown here is updated every 24 hours.",
https://www.truecar.com/used-cars-for-sale/listing/5YJYGDEE5MF100788/2021-tesla-model-y/?position=18&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace,Pearl White Multi-Coat,Unknown,"Daly City, CA (2691 miles away)",Electric,Listed 19 days ago,5YJYGDEE5MF100788,EZ7792,"$20,998","$23,305","Below $22,139","$22,139 - $23,072","$23,072 - $24,004","Above $24,004","The list price of$20,998for this2021 Tesla Model Yisanexcellentprice! The average list price for similar models is$23,305.Learn More","CLEAN TITLE. LISTED INTERNET PRICE IS AFTER THE IRS $4,000 INSTANT POINT OF SALE EV CREDIT APPLIED AT TIME OF SALE. NOT ALL BUYERS WILL QUALIFY. CONTACT US TO SEE IF YOU ARE ELIGIBLE. WE ARE THE BAY AREA’S LARGEST VOLUME PRE-OWNED TESLA DEALER. CHECK OUR REVIEWS! WE OFFER THE $4,000 IRS INSTANT POINT OF SALE EV REBATE TO ELIGIBLE BUYERS! THIS TESLA COMES METICULOUSLY INSPECTED AND STILL UNDER TESLA WARRANTY. CLEAN CARFAX WITH FREE CARFAX BUYBACK GUARANTEE! THIS MODEL Y HAS A GREAT BATTERY HEALTH SCORE WITH REPORT AVAILABLE. TAXES, FEES, AND LICENSE STILL APPLIES AT NORMAL SALE PRICE BEFORE REBATE.",326 mi
https://www.truecar.com/used-cars-for-sale/listing/3FMTK1RM7NMA44404/2022-ford-mustang-mach-e/?position=19&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace,Space White Metallic,Black Onyx,"Colma, CA (2692 miles away)",Electric,Listed 1 day ago,3FMTK1RM7NMA44404,P10252,"$17,974","$21,765","Below $20,676","$20,676 - $21,547","$21,547 - $22,418","Above $22,418","The list price of$17,974for this2022 Ford Mustang Mach‑Eisanexcellentprice! The average list price for similar models is$21,765.Learn More","Recent Arrival! Clean CARFAX. ***BACKUP CAMERA BLUETOOTH***, ***ADAPTIVE CRUISE CONTROL W/STOP GO***, ***LANE-KEEPING SYS./ALERT***, ***POWER LOCKS, WINDOWS, MIRRORS***, ***BLIND SPOT MONITOR***, ***ACTIVEX SEATS***, ***15.5' TOUCHSCREEN CNCTD BLT-IN NAV(3-YR INC)**, ***POWER DRIVER SEAT***, ** WIRELESS CHARGING PAD**, **PHONE AS A KEY**, ** HEADLAMPS-AUTO LED W/LED SIGNATURE LIGHTING***, Mustang Mach-E Select, Black Onyx w/ActiveX Bucket Seats. 110/96 City/Highway MPG Space White Metallic 2022",247 mi
https://www.truecar.com/used-cars-for-sale/listing/SADCK2GX0LA640086/2020-jaguar-f-pace/?position=20&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace,Narvik Black,Ebony/Tan Stitch,"San Francisco, CA (2687 miles away)",Gas,Listed 9 days ago,SADCK2GX0LA640086,A640086L,"$23,988","$28,598","Below $27,168","$27,168 - $28,312","$28,312 - $29,456","Above $29,456","The list price of$23,988for this2020 Jaguar F‑PACEisanexcellentprice! The average list price for similar models is$28,598.Learn More","2020 Jaguar F-PACE KEY FEATURES INCLUDE Navigation, Sunroof, Panoramic Roof, All Wheel Drive, Power Liftgate Narvik Black exterior and Ebony/Tan Stitch interior. Heated Seats, Nav System, Moonroof, Aluminum Wheels Jaguar 30t Prestige with Narvik Black exterior and Ebony/Tan Stitch interior features a 4 Cylinder Engine with 296 HP at 5500 RPM*. A GREAT TIME TO BUY Was $39,125. This F-PACE is priced $6,500 below Kelley Blue Book. SHOP WITH CONFIDENCE All vehicles must pass a 165-point inspection and be approved by a Jaguar-Certified technician, The Jaguar CPO warranty has $0 deductible, A 1 year / unlimited miles or a 2 year / 100,000 miles (whichever comes first), Every Jaguar CPO vehicle must pass a rigorous road test, Jaguar Assistance provides 24/7 Roadside Assistance, The Jaguar warranty is transferable should you choose to sell your Jaguar, and includes a Vehicle History Report WHY BUY FROM US Jaguar and Land Rover San Francisco are here to provide a substantial selection of Jaguar and Land Rover vehicles to car shoppers. From our San Francisco location, we are easily able to service customers in all of California, and beyond. Our inventory is well-stocked with all of the top models in the Jaguar and Land Rover lineup. All of our vehicles provide the refinement and performance consumers have come to expect from Jaguar and Land Rover. Market adjustment may apply to certain models. Pricing analysis performed on 4/3/2025. Horsepower calculations based on trim engine configuration. Fuel economy calculations based on original manufacturer data for trim engine configuration. Please confirm the accuracy of the included equipment by calling us prior to purchase.",
https://www.truecar.com/used-cars-for-sale/listing/WMWMF33589TW75046/2009-mini-cooper/?position=21&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace,Unknown,Unknown,"Alameda, CA (2678 miles away)",Gas,Listed 25 days ago,WMWMF33589TW75046,W75046,"$4,995","$6,369","Below $6,050","$6,050 - $6,305","$6,305 - $6,560","Above $6,560","The list price of$4,995for this2009 MINI Cooperisanexcellentprice! The average list price for similar models is$6,369.Learn More",,
